pid,label,monster_type,artist,location,language,_date,current_location,source,marginalia_description,order,layout,collection,thumbnail,full,manifest
obj1,"Serra from the 'Queen Mary Psalter' (British Library Royal 2 B VII, fol. 88v)",sea monster,Queen Mary Master,England,Latin (French image captions),1310 - 1320,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=52707,"A bottom-of-the-page detail of a serra, a sea monster with fins so enormous that they appear as wings.",0,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,"Serra from the 'Queen Mary Psalter' (British Library Royal 2 B VII, fol. 89)",sea monster,Queen Mary Master,England,Latin (French image captions),1310 - 1320,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=52267,"A bottom-of-the-page detail of a serra, a sea monster with enormous fins, attacking four men and a woman in a boat.",1,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj11,"Dragon from a Mahzor (British Library Add. 9405, fol. 3v)",dragon,Solomon ben Jehiel,Germany,Hebrew,1309,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=44611,A detail of a fire-breathing dragon drawn next to the opening words of the Book of Ruth.,10,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj11/full/1140,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json
obj12,"Dragon from a Mahzor (British Library Add. 9405, fol. 6)",dragon,Solomon ben Jehiel,Germany,Hebrew,1309,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=44612,A detail of a dragon biting its arm next to the opening words of Ecclesiastes.,11,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj12/full/1140,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json
obj13,"Dragon from a Festival Prayer Book (British Library Add. 16577, fol. 44v)",dragon,Unknown,Italy,Hebrew,3rd quarter of the 15th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=56762,A detail of a dragon whose tail encircles a caption.,12,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj13/full/1140,/0/default.jpg",/img/derivatives/iiif/obj13/manifest.json
obj14,"Dragon from a Pentateuch (British Library Add. 26878, fol. 43v)",dragon,Solomon ben Isaac,France,"Hebrew, Aramaic",14th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=52589,A dragon among text.,13,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj14/full/1140,/0/default.jpg",/img/derivatives/iiif/obj14/manifest.json
obj15,"Dragon from a Pentateuch (British Library Add. 26878, fol. 133v)",dragon,Solomon ben Isaac,France,"Hebrew, Aramaic",14th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=44769,A carmina figurata of a dragon. ,14,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj15/full/1140,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json
obj16,"Hybrids from the 'Luttrell Psalter' (British Library Add. 42130, fol. 62v)",hybrid,Unknown,England,Latin,2nd quarter of the 14th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=56726,"Folio with text from Psalm 32, with a multitude of hybrids in the margins. In addition to the hybrids, there is a man with blue skin at the bottom of the page.",15,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj16/full/1140,/0/default.jpg",/img/derivatives/iiif/obj16/manifest.json
obj17,"Hybrid from the 'Luttrell Psalter' (British Library Add. 42130, fol. 81v)",hybrid,Unknown,England,Latin,2nd quarter of the 14th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=50178,A bottom-of-the-page detail of a large grotesque hybrid next to a seated woman.,16,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj17/full/1140,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json
obj18,"Hybrid from Scholastic Miscellany (British Library Burney 275, fol. 143)",hybrid,Attributed to the Meliacin Master,France,Latin,1309 - 1316,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=8655,"A detail of a winged half-man, half-beast hybrid wearing a bishop's mitre.",17,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj18/full/1140,/0/default.jpg",/img/derivatives/iiif/obj18/manifest.json
